"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"61","Wali Jones","PG",24,"PHI",81,0,2249,423,982,0.431,0,0,0,423,982,0.431,0.431,223,266,0.838,0,0,265,303,0,0,0,246,1069,1967,12.9,0.486,0,0.271,0,0,0,16.5,0,0,0,0,1.9,2,4,0.084,0,0,0,0
"62","Toby Kimball","PF",24,"BOS",38,0,222,35,97,0.361,0,0,0,35,97,0.361,0.361,27,40,0.675,0,0,146,13,0,0,0,42,97,1967,16.9,0.423,0,0.412,0,0,0,7.4,0,0,0,0,-0.2,0.6,0.4,0.097,0,0,0,0
"63","Jim King","SG",25,"SFW",67,0,1667,286,685,0.418,0,0,0,286,685,0.418,0.418,174,221,0.787,0,0,319,240,0,0,0,193,746,1967,13.7,0.477,0,0.323,0,0,0,18,0,0,0,0,1,2.5,3.5,0.101,0,0,0,0
"64","Don Kojis","SF",28,"CHI",78,0,1655,329,773,0.426,0,0,0,329,773,0.426,0.426,134,222,0.604,0,0,479,70,0,0,0,204,792,1967,12.9,0.455,0,0.287,0,0,0,5.9,0,0,0,0,-0.1,2,1.9,0.056,0,0,0,0
"65","Howard Komives","PG",25,"NYK",65,0,2282,402,995,0.404,0,0,0,402,995,0.404,0.404,217,253,0.858,0,0,183,401,0,0,0,213,1021,1967,13,0.461,0,0.254,0,0,0,23.2,0,0,0,0,0.7,0.8,1.5,0.031,0,0,0,0
"66","Tommy Kron","SG",23,"STL",32,0,221,27,87,0.31,0,0,0,27,87,0.31,0.31,13,19,0.684,0,0,36,46,0,0,0,35,67,1967,8.8,0.351,0,0.218,0,0,0,26.5,0,0,0,0,-0.5,0.2,-0.3,-0.06,0,0,0,0
"67","Rudy LaRusso","PF",29,"LAL",45,0,1292,211,509,0.415,0,0,0,211,509,0.415,0.415,156,224,0.696,0,0,351,78,0,0,0,149,578,1967,12.8,0.476,0,0.44,0,0,0,7.5,0,0,0,0,0.7,1.1,1.7,0.064,0,0,0,0
"68","Clyde Lee","C",22,"SFW",74,0,1247,205,503,0.408,0,0,0,205,503,0.408,0.408,105,166,0.633,0,0,551,77,0,0,0,168,515,1967,13.9,0.447,0,0.33,0,0,0,7.6,0,0,0,0,-0.2,2.3,2.1,0.08,0,0,0,0
"69","George Lee","F-G",30,"SFW",1,0,5,3,4,0.75,0,0,0,3,4,0.75,0.75,6,7,0.857,0,0,0,0,0,0,0,0,12,1967,77,0.847,0,1.75,0,0,0,0,0,0,0,0,0.1,0,0.1,1.384,0,0,0,0
"70","Freddie Lewis","PG",23,"CIN",32,0,334,60,153,0.392,0,0,0,60,153,0.392,0.392,29,41,0.707,0,0,44,40,0,0,0,49,149,1967,10.5,0.436,0,0.268,0,0,0,15.8,0,0,0,0,-0.2,0.2,0,0.004,0,0,0,0
"71","Kevin Loughery","SG",26,"BAL",76,0,2577,520,1306,0.398,0,0,0,520,1306,0.398,0.398,340,412,0.825,0,0,349,288,0,0,0,294,1380,1967,13.7,0.464,0,0.315,0,0,0,15.2,0,0,0,0,0.9,1.7,2.5,0.047,0,0,0,0
"72","Bob Love","PF",24,"CIN",66,0,1074,173,403,0.429,0,0,0,173,403,0.429,0.429,93,147,0.633,0,0,257,49,0,0,0,153,439,1967,10.7,0.469,0,0.365,0,0,0,5.9,0,0,0,0,0.3,0.6,1,0.043,0,0,0,0
"73","Jerry Lucas*","PF",26,"CIN",81,0,3558,577,1257,0.459,0,0,0,577,1257,0.459,0.459,284,359,0.791,0,0,1547,268,0,0,0,280,1438,1967,16.9,0.508,0,0.286,0,0,0,9.7,0,0,0,0,4.1,3.2,7.3,0.098,0,0,0,0
"74","Jack Marin","SF",22,"BAL",74,0,1323,283,632,0.448,0,0,0,283,632,0.448,0.448,145,187,0.775,0,0,313,75,0,0,0,199,711,1967,14.4,0.498,0,0.296,0,0,0,7.8,0,0,0,0,1.6,0.9,2.5,0.09,0,0,0,0
"75","Jon McGlocklin","SF",23,"CIN",60,0,1194,217,493,0.44,0,0,0,217,493,0.44,0.44,74,104,0.712,0,0,164,93,0,0,0,84,508,1967,11.4,0.471,0,0.211,0,0,0,10.3,0,0,0,0,0.5,0.6,1.1,0.043,0,0,0,0
"76","McCoy McLemore","SF",24,"CHI",79,0,1382,258,670,0.385,0,0,0,258,670,0.385,0.385,210,272,0.772,0,0,374,62,0,0,0,189,726,1967,13.5,0.46,0,0.406,0,0,0,6.2,0,0,0,0,0.2,1.6,1.8,0.062,0,0,0,0
"77","Bill Melchionni","PG",22,"PHI",73,0,692,138,353,0.391,0,0,0,138,353,0.391,0.391,39,60,0.65,0,0,98,98,0,0,0,73,315,1967,10.8,0.415,0,0.17,0,0,0,17.6,0,0,0,0,-0.7,0.7,-0.1,-0.005,0,0,0,0
"78","Tom Meschery","PF",28,"SFW",72,0,1846,293,706,0.415,0,0,0,293,706,0.415,0.415,175,244,0.717,0,0,549,94,0,0,0,264,761,1967,11.6,0.468,0,0.346,0,0,0,6.3,0,0,0,0,0.5,2.6,3.1,0.081,0,0,0,0
"79","Eddie Miles","SG",26,"DET",81,0,2419,582,1363,0.427,0,0,0,582,1363,0.427,0.427,261,338,0.772,0,0,298,181,0,0,0,216,1425,1967,14.9,0.471,0,0.248,0,0,0,11.4,0,0,0,0,1.4,2.3,3.7,0.073,0,0,0,0
"80","Wayne Molis","C",23,"NYK",13,0,75,19,51,0.373,0,0,0,19,51,0.373,0.373,7,13,0.538,0,0,22,2,0,0,0,9,45,1967,11.7,0.397,0,0.255,0,0,0,3.9,0,0,0,0,-0.2,0,-0.2,-0.099,0,0,0,0
"81","Erwin Mueller","C",22,"CHI",80,0,2136,422,957,0.441,0,0,0,422,957,0.441,0.441,171,260,0.658,0,0,497,131,0,0,0,223,1015,1967,13.3,0.474,0,0.272,0,0,0,8.6,0,0,0,0,1,2.4,3.5,0.078,0,0,0,0
"82","Jeff Mullins","SG",24,"SFW",77,0,1835,421,919,0.458,0,0,0,421,919,0.458,0.458,150,214,0.701,0,0,388,226,0,0,0,195,992,1967,15.8,0.49,0,0.233,0,0,0,16.6,0,0,0,0,1.9,2.7,4.5,0.119,0,0,0,0
"83","Dorie Murrey","PF",23,"DET",35,0,311,33,82,0.402,0,0,0,33,82,0.402,0.402,32,54,0.593,0,0,102,12,0,0,0,57,98,1967,10,0.463,0,0.659,0,0,0,4.9,0,0,0,0,0.1,0.4,0.5,0.072,0,0,0,0
"84","Don Nelson*","SF",26,"BOS",79,0,1202,227,509,0.446,0,0,0,227,509,0.446,0.446,141,190,0.742,0,0,295,65,0,0,0,143,595,1967,14.3,0.502,0,0.373,0,0,0,7.1,0,0,0,0,1.5,1.8,3.3,0.131,0,0,0,0
"85","Paul Neumann","PG",29,"SFW",78,0,2421,386,911,0.424,0,0,0,386,911,0.424,0.424,312,390,0.8,0,0,272,342,0,0,0,266,1084,1967,13,0.501,0,0.428,0,0,0,17.4,0,0,0,0,2.8,3,5.8,0.115,0,0,0,0
"86","Don Ohl","SG",30,"BAL",58,0,2024,452,1002,0.451,0,0,0,452,1002,0.451,0.451,276,354,0.78,0,0,189,168,0,0,0,153,1180,1967,15.3,0.51,0,0.353,0,0,0,11.6,0,0,0,0,3.4,1.1,4.4,0.104,0,0,0,0
"87","Bud Olsen","PF",26,"SFW",40,0,348,75,167,0.449,0,0,0,75,167,0.449,0.449,23,58,0.397,0,0,103,32,0,0,0,51,173,1967,13.4,0.449,0,0.347,0,0,0,12.1,0,0,0,0,-0.1,0.5,0.5,0.068,0,0,0,0
"88","Ron Reed","PF",24,"DET",62,0,1248,223,600,0.372,0,0,0,223,600,0.372,0.372,79,133,0.594,0,0,423,81,0,0,0,145,525,1967,12.1,0.399,0,0.222,0,0,0,9,0,0,0,0,-2,1.8,-0.2,-0.006,0,0,0,0
"89","Willis Reed*","PF",24,"NYK",78,0,2824,635,1298,0.489,0,0,0,635,1298,0.489,0.489,358,487,0.735,0,0,1136,126,0,0,0,293,1628,1967,19.7,0.538,0,0.375,0,0,0,6.3,0,0,0,0,6.5,1.3,7.9,0.134,0,0,0,0
"90","Oscar Robertson*","PG",28,"CIN",79,0,3468,838,1699,0.493,0,0,0,838,1699,0.493,0.493,736,843,0.873,0,0,486,845,0,0,0,226,2412,1967,25.5,0.583,0,0.496,0,0,0,35.1,0,0,0,0,14.7,2.7,17.4,0.241,0,0,0,0
"91","Flynn Robinson","PG",25,"CIN",76,0,1140,274,599,0.457,0,0,0,274,599,0.457,0.457,120,154,0.779,0,0,133,110,0,0,0,197,668,1967,14,0.501,0,0.257,0,0,0,13.9,0,0,0,0,1.6,0.6,2.2,0.093,0,0,0,0
"92","Guy Rodgers*","PG",31,"CHI",81,0,3063,538,1377,0.391,0,0,0,538,1377,0.391,0.391,383,475,0.806,0,0,346,908,0,0,0,243,1459,1967,17.9,0.46,0,0.345,0,0,0,40.1,0,0,0,0,1.3,4.9,6.2,0.097,0,0,0,0
"93","Bill Russell*","C",32,"BOS",81,0,3297,395,870,0.454,0,0,0,395,870,0.454,0.454,285,467,0.61,0,0,1700,472,0,0,0,258,1075,1967,18.6,0.5,0,0.537,0,0,0,17.3,0,0,0,0,3,9.2,12.2,0.178,0,0,0,0
"94","Cazzie Russell","SF",22,"NYK",77,0,1696,344,789,0.436,0,0,0,344,789,0.436,0.436,179,228,0.785,0,0,251,187,0,0,0,174,867,1967,14.2,0.487,0,0.289,0,0,0,15.1,0,0,0,0,1.6,0.6,2.2,0.061,0,0,0,0
"95","Tom Sanders*","SF",28,"BOS",81,0,1926,323,755,0.428,0,0,0,323,755,0.428,0.428,178,218,0.817,0,0,439,91,0,0,0,304,824,1967,11.2,0.484,0,0.289,0,0,0,6,0,0,0,0,1.3,2.7,4,0.1,0,0,0,0
"96","Dave Schellhase","PG",22,"CHI",31,0,212,40,111,0.36,0,0,0,40,111,0.36,0.36,14,22,0.636,0,0,29,23,0,0,0,27,94,1967,8.9,0.389,0,0.198,0,0,0,14.9,0,0,0,0,-0.4,0.2,-0.2,-0.045,0,0,0,0
"97","Ray Scott","C-PF",28,"TOT",72,0,2446,458,1144,0.4,0,0,0,458,1144,0.4,0.4,256,366,0.699,0,0,760,160,0,0,0,215,1172,1967,14.6,0.449,0,0.32,0,0,0,9,0,0,0,0,-0.4,2.8,2.4,0.047,0,0,0,0
"98","Larry Siegfried","PG",27,"BOS",73,0,1891,368,833,0.442,0,0,0,368,833,0.442,0.442,294,347,0.847,0,0,228,250,0,0,0,207,1030,1967,16.2,0.522,0,0.417,0,0,0,17.5,0,0,0,0,3.7,2.7,6.4,0.163,0,0,0,0
"99","Paul Silas","PF",23,"STL",77,0,1570,207,482,0.429,0,0,0,207,482,0.429,0.429,113,213,0.531,0,0,669,74,0,0,0,208,527,1967,12.9,0.458,0,0.442,0,0,0,6.1,0,0,0,0,0.1,1.7,1.8,0.054,0,0,0,0
"100","Jerry Sloan*","SG",24,"CHI",80,0,2942,525,1214,0.432,0,0,0,525,1214,0.432,0.432,340,427,0.796,0,0,726,170,0,0,0,293,1390,1967,14.2,0.496,0,0.352,0,0,0,7.8,0,0,0,0,3.1,3.4,6.5,0.106,0,0,0,0
"101","Adrian Smith","SG",30,"CIN",81,0,2636,502,1147,0.438,0,0,0,502,1147,0.438,0.438,343,380,0.903,0,0,205,187,0,0,0,272,1347,1967,12.6,0.512,0,0.331,0,0,0,9.5,0,0,0,0,4,1,5.1,0.092,0,0,0,0
"102","Dick Snyder","SG",22,"STL",55,0,676,144,333,0.432,0,0,0,144,333,0.432,0.432,46,61,0.754,0,0,91,59,0,0,0,82,334,1967,12.3,0.464,0,0.183,0,0,0,12.6,0,0,0,0,0.2,0.4,0.6,0.045,0,0,0,0
"103","Dave Stallworth","SF",25,"NYK",76,0,1889,380,816,0.466,0,0,0,380,816,0.466,0.466,229,320,0.716,0,0,472,144,0,0,0,226,989,1967,15.8,0.517,0,0.392,0,0,0,10.4,0,0,0,0,3.1,0.7,3.9,0.098,0,0,0,0
"104","Joe Strawder","C",26,"DET",79,0,2156,281,660,0.426,0,0,0,281,660,0.426,0.426,188,262,0.718,0,0,791,82,0,0,0,344,750,1967,12.3,0.484,0,0.397,0,0,0,4.9,0,0,0,0,1.2,3.1,4.3,0.096,0,0,0,0
"105","Rod Thorn*","PG",25,"STL",67,0,1166,233,524,0.445,0,0,0,233,524,0.445,0.445,125,172,0.727,0,0,160,118,0,0,0,88,591,1967,14.7,0.493,0,0.328,0,0,0,14.3,0,0,0,0,1.3,0.8,2.1,0.086,0,0,0,0
"106","Nate Thurmond*","C",25,"SFW",65,0,2761,467,1068,0.437,0,0,0,467,1068,0.437,0.437,280,445,0.629,0,0,1382,166,0,0,0,183,1214,1967,17.4,0.48,0,0.417,0,0,0,7.5,0,0,0,0,1.7,5.6,7.2,0.125,0,0,0,0
"107","Gene Tormohlen","C",29,"STL",63,0,1036,172,403,0.427,0,0,0,172,403,0.427,0.427,50,84,0.595,0,0,347,73,0,0,0,177,394,1967,11.9,0.448,0,0.208,0,0,0,9.5,0,0,0,0,-0.2,1,0.8,0.039,0,0,0,0
"108","John Tresvant","PF",27,"DET",68,0,1553,256,585,0.438,0,0,0,256,585,0.438,0.438,164,234,0.701,0,0,483,88,0,0,0,246,676,1967,14,0.491,0,0.4,0,0,0,7.7,0,0,0,0,1.4,2.1,3.5,0.109,0,0,0,0
"109","Dick Van Arsdale","SG",23,"NYK",79,0,2892,410,913,0.449,0,0,0,410,913,0.449,0.449,371,509,0.729,0,0,555,247,0,0,0,264,1191,1967,13.3,0.524,0,0.558,0,0,0,10.8,0,0,0,0,4.3,1,5.2,0.087,0,0,0,0
"110","Tom Van Arsdale","SG",23,"DET",79,0,2134,347,887,0.391,0,0,0,347,887,0.391,0.391,272,347,0.784,0,0,341,193,0,0,0,241,966,1967,12.6,0.465,0,0.391,0,0,0,12.3,0,0,0,0,0.7,2.4,3.1,0.069,0,0,0,0
"111","Chico Vaughn","SG",26,"DET",51,0,680,85,226,0.376,0,0,0,85,226,0.376,0.376,50,74,0.676,0,0,67,75,0,0,0,54,220,1967,9.1,0.425,0,0.327,0,0,0,14.2,0,0,0,0,-0.4,0.7,0.4,0.026,0,0,0,0
"112","Chet Walker*","SF",26,"PHI",81,0,2691,561,1150,0.488,0,0,0,561,1150,0.488,0.488,445,581,0.766,0,0,660,188,0,0,0,232,1567,1967,17.9,0.557,0,0.505,0,0,0,8.8,0,0,0,0,7.4,2.7,10.1,0.181,0,0,0,0
"113","Gerry Ward","SG",25,"CHI",76,0,1042,117,307,0.381,0,0,0,117,307,0.381,0.381,87,138,0.63,0,0,179,130,0,0,0,169,321,1967,8.9,0.436,0,0.45,0,0,0,15.6,0,0,0,0,-0.3,1.2,1,0.045,0,0,0,0
"114","Jim Ware","PF",22,"CIN",33,0,201,30,97,0.309,0,0,0,30,97,0.309,0.309,10,17,0.588,0,0,69,6,0,0,0,35,70,1967,6.1,0.335,0,0.175,0,0,0,3.8,0,0,0,0,-0.7,0.1,-0.5,-0.127,0,0,0,0
"115","Ben Warley","SF",30,"BAL",62,0,1037,125,312,0.401,0,0,0,125,312,0.401,0.401,134,170,0.788,0,0,325,51,0,0,0,176,384,1967,11.7,0.496,0,0.545,0,0,0,6,0,0,0,0,0.9,0.8,1.7,0.078,0,0,0,0
"116","Bob Warlick","SG",25,"SFW",12,0,65,15,52,0.288,0,0,0,15,52,0.288,0.288,6,11,0.545,0,0,20,10,0,0,0,4,36,1967,10.4,0.317,0,0.212,0,0,0,20.7,0,0,0,0,-0.4,0.1,-0.3,-0.207,0,0,0,0
"117","Jim Washington","PF",23,"CHI",77,0,1475,252,604,0.417,0,0,0,252,604,0.417,0.417,88,159,0.553,0,0,468,56,0,0,0,181,592,1967,11.4,0.439,0,0.263,0,0,0,5.1,0,0,0,0,-0.6,1.9,1.3,0.041,0,0,0,0
"118","Ron Watts","F",23,"BOS",27,0,89,11,44,0.25,0,0,0,11,44,0.25,0.25,16,23,0.696,0,0,38,1,0,0,0,16,38,1967,8.4,0.351,0,0.523,0,0,0,1.4,0,0,0,0,-0.3,0.2,-0.1,-0.073,0,0,0,0
"119","Bob Weiss","PG",24,"PHI",6,0,29,5,10,0.5,0,0,0,5,10,0.5,0.5,2,5,0.4,0,0,3,10,0,0,0,8,12,1967,14.3,0.492,0,0.5,0,0,0,41.6,0,0,0,0,0,0,0.1,0.122,0,0,0,0
"120","Walt Wesley","C",22,"CIN",64,0,909,131,333,0.393,0,0,0,131,333,0.393,0.393,52,123,0.423,0,0,329,19,0,0,0,161,314,1967,8.6,0.406,0,0.369,0,0,0,2.6,0,0,0,0,-1.1,0.6,-0.4,-0.022,0,0,0,0
"121","Jerry West*","PG",28,"LAL",66,0,2670,645,1389,0.464,0,0,0,645,1389,0.464,0.464,602,686,0.878,0,0,392,447,0,0,0,160,1892,1967,22.7,0.559,0,0.494,0,0,0,23.1,0,0,0,0,9.4,2.3,11.7,0.21,0,0,0,0
"122","Lenny Wilkens*","PG",29,"STL",78,0,2974,448,1036,0.432,0,0,0,448,1036,0.432,0.432,459,583,0.787,0,0,412,442,0,0,0,280,1355,1967,15.6,0.524,0,0.563,0,0,0,19.6,0,0,0,0,5.2,2.4,7.6,0.123,0,0,0,0
"123","George Wilson","C",24,"TOT",55,0,573,85,234,0.363,0,0,0,85,234,0.363,0.363,58,86,0.674,0,0,206,15,0,0,0,92,228,1967,10.5,0.419,0,0.368,0,0,0,3.5,0,0,0,0,-0.5,0.7,0.2,0.014,0,0,0,0
